Done
Got 10 periodic interrupts
Got 2 sporadic interrupts
[0]: sampled: 80771, processed: 185141, actuated: 74400
[1]: sampled: 68326, processed: 150380, actuated: 73103
[2]: sampled: 68973, processed: 147935, actuated: 68602
[3]: sampled: 66694, processed: 152897, actuated: 70100
[4]: sampled: 66933, processed: 149618, actuated: 67062
[5]: sampled: 66839, processed: 133820, actuated: 67413
[6]: sampled: 65820, processed: 143986, actuated: 77578
[7]: sampled: 75615, processed: 208836, actuated: 75373
[8]: sampled: 77002, processed: 200390, actuated: 76594
[9]: sampled: 74538, processed: 198871, actuated: 75797
[10]: sampled: 78944, processed: 192851, actuated: 80888
[11]: sampled: 79554, processed: 203239, actuated: 77980
[12]: sampled: 78349, processed: 230163, actuated: 77349
[13]: sampled: 74182, processed: 172588, actuated: 77514
[14]: sampled: 78014, processed: 180902, actuated: 77384
[15]: sampled: 75124, processed: 191790, actuated: 78031
[16]: sampled: 75437, processed: 219270, actuated: 79844
[17]: sampled: 75732, processed: 188509, actuated: 76269
[18]: sampled: 74620, processed: 198323, actuated: 76064
[19]: sampled: 74323, processed: 195488, actuated: 77841
[20]: sampled: 75525, processed: 190080, actuated: 77728
[21]: sampled: 507280, processed: 631316, actuated: 81394
[22]: sampled: 76745, processed: 175263, actuated: 80226
[23]: sampled: 76225, processed: 182706, actuated: 75688
[24]: sampled: 77169, processed: 195149, actuated: 79742
[25]: sampled: 76167, processed: 196870, actuated: 75741
[26]: sampled: 75759, processed: 178110, actuated: 76203
[27]: sampled: 77406, processed: 211053, actuated: 77461
[28]: sampled: 75368, processed: 191774, actuated: 78552
[29]: sampled: 75570, processed: 195588, actuated: 76755
[30]: sampled: 75791, processed: 198957, actuated: 79198
[31]: sampled: 77401, processed: 208159, actuated: 76882
[32]: sampled: 74585, processed: 199806, actuated: 78270
[33]: sampled: 76195, processed: 179157, actuated: 76231
[34]: sampled: 74490, processed: 193156, actuated: 76230
[35]: sampled: 77526, processed: 192284, actuated: 77340
[36]: sampled: 84654, processed: 224931, actuated: 78913
[37]: sampled: 75098, processed: 208911, actuated: 76338
[38]: sampled: 75837, processed: 203836, actuated: 77929
[39]: sampled: 76243, processed: 196780, actuated: 77039
[40]: sampled: 79483, processed: 195649, actuated: 78427
[41]: sampled: 79315, processed: 193018, actuated: 78277
[42]: sampled: 75684, processed: 196943, actuated: 193738
[43]: sampled: 87350, processed: 239126, actuated: 84053
[44]: sampled: 76645, processed: 188996, actuated: 76829
[45]: sampled: 76625, processed: 196421, actuated: 79958
[46]: sampled: 75994, processed: 224975, actuated: 76975
